column,dtype,missing_count,missing_rate,n_unique
hotel,str,0,0.0,2
is_canceled,int64,0,0.0,2
lead_time,int64,0,0.0,479
arrival_date_year,int64,0,0.0,3
arrival_date_month,str,0,0.0,12
arrival_date_week_number,int64,0,0.0,53
arrival_date_day_of_month,int64,0,0.0,31
stays_in_weekend_nights,int64,0,0.0,17
stays_in_week_nights,int64,0,0.0,35
adults,int64,0,0.0,14
children,float64,4,3.350364352123293e-05,6
babies,int64,0,0.0,5
meal,str,0,0.0,5
country,str,488,0.004087444509590418,178
market_segment,str,0,0.0,8
distribution_channel,str,0,0.0,5
is_repeated_guest,int64,0,0.0,2
previous_cancellations,int64,0,0.0,15
previous_bookings_not_canceled,int64,0,0.0,73
reserved_room_type,str,0,0.0,10
assigned_room_type,str,0,0.0,12
booking_changes,int64,0,0.0,21
deposit_type,str,0,0.0,3
agent,float64,16340,0.13686238378423654,334
company,float64,112593,0.943068933746545,353
days_in_waiting_list,int64,0,0.0,128
customer_type,str,0,0.0,4
adr,float64,0,0.0,8879
required_car_parking_spaces,int64,0,0.0,5
total_of_special_requests,int64,0,0.0,6
reservation_status,str,0,0.0,3
reservation_status_date,str,0,0.0,926
