arrival_date_month,n,cancel_rate,adr_mean,booking_value_sum
August,13877,0.3775311666786769,140.11152266339988,7944717.43
July,12661,0.37453597662112,126.78801279519786,6587713.64
May,11791,0.39665846832329743,108.69551607158003,4108125.9
October,11160,0.3804659498207885,87.90887903225806,3009549.5
April,11089,0.4079718640093787,100.38078997204437,3710466.14
June,10939,0.4145717158789652,116.67219215650427,4499387.28
September,10508,0.3917015607156452,105.04965740388276,3731917.18
March,9794,0.3215233816622422,80.67964570144986,2639221.09
February,8068,0.3341596430342092,73.58227565691622,1818972.7
November,6794,0.3123344127171033,73.79496173093906,1600156.54
December,6780,0.3497050147492625,81.07677581120944,1800192.7
January,5929,0.3047731489289931,70.36124135604655,1273077.43
